eid,sigla,lang,n,inf,categoria,exemplo_nome
736,DP3SD,None,18,0,jp_subset,Burmy Casca de Planta
737,MEE,None,8,0,jp_subset,Energia de Grama (Mega Evolution)
739,HC25,None,8,0,jp_subset,Pikachu
741,CBB3C,None,136,0,jp_subset,
742,MC,None,766,0,jp_subset,Oddish da &Eacute;rica
743,CSV5C,None,164,0,jp_subset,Oddish
744,CSV4C,None,165,0,jp_subset,Scyther
745,CSV3C,None,165,0,jp_subset,Hoppip
747,CS6BC,None,172,0,jp_subset,Seel
748,CS6.5,None,96,0,jp_subset,Exeggutor de Alola-V
749,CS5BC,None,178,0,jp_subset,Bulbasaur
750,CS5AC,None,176,0,jp_subset,Charmander
751,CS5.1,None,23,0,jp_subset,Sobble
752,CSV1C,None,167,0,jp_subset,Pineco
753,CS3BC,None,179,0,jp_subset,Cherubi
755,mp1,None,23,0,jp_subset,Durant
756,mbd,None,22,0,jp_subset,Snubbull
757,mbg,None,22,0,jp_subset,Gastly
758,M2aPB,jp,105,0,jp_subset,Pinsir do Ethan
759,M2aES,jp,118,0,jp_subset,Pinsir do Ethan
760,M2aTR,None,13,0,jp_subset,Tarountula da Equipe Rocket
761,ASCES,None,140,0,jp_subset,Oddish da &Eacute;rica
762,ASCPB,None,130,0,jp_subset,Oddish da &Eacute;rica
763,ASCTR,None,10,0,jp_subset,Tarountula da Equipe Rocket
764,M3,None,117,0,jp_subset,Spinarak
765,SVJP,jp,19,0,jp_subset,Palkia Forma Origem-V
766,SVJL,None,21,0,jp_subset,Charmander
767,PCFC,None,10,0,jp_subset,
768,SVN,None,45,0,jp_subset,Mew ex
770,PPPS8,None,90,0,jp_subset,Energia de Grama
772,SI-JP,jp,18,0,jp_subset,Ivysaur
774,CSM2b,None,193,0,jp_subset,Celebi e Venusaur-GX
775,CSM2c,None,192,0,jp_subset,Reshiram e Charizard-GX
776,CSM2a,None,194,0,jp_subset,Karrablast
778,s6aK,None,101,0,jp_subset,Pinsir
779,cs3.5,None,90,0,jp_subset,Weedle
82,VM,None,9,0,jp_subset,Victory Medal - Spring 2006-2007
